;-----------------------------------------
;Rainfall input file for TopModel
;First line has n_steps and dt [hours]
;Other lines have Rainfall, ET, and Q_obs
;8 years of daily data.  Units are [m/h].
;-----------------------------------------
2921	24
8.11E-03	1.94E-03	4.49E-03
6.67E-04	2.96E-03	3.32E-03
1.99E-02	1.40E-03	7.08E-03
9.94E-03	1.31E-03	5.27E-03
1.91E-04	2.68E-03	4.67E-03
0	3.25E-03	3.65E-03
0	4.13E-03	3.04E-03
8.00E-04	3.26E-03	2.66E-03
6.20E-02	3.63E-03	 
0	3.74E-03	 
4.00E-03	2.46E-03	4.21E-03
2.60E-03	2.66E-03	3.47E-03
3.00E-04	3.92E-03	2.93E-03
2.32E-02	3.71E-03	5.72E-03
2.10E-03	1.45E-03	3.46E-03
0	3.55E-03	2.58E-03
5.00E-04	4.22E-03	2.16E-03
2.78E-04	3.51E-03	1.95E-03
4.06E-03	2.72E-03	1.90E-03
0.129465	2.98E-04	5.20E-02
3.58E-02	5.96E-04	3.37E-02
7.09E-02	1.65E-03	4.60E-02
1.14E-03	1.84E-03	1.74E-02
1.16E-03	2.92E-03	9.12E-03
1.10E-02	2.96E-03	7.11E-03
0	3.48E-03	5.24E-03
0	3.98E-03	4.10E-03
7.90E-03	3.86E-03	5.21E-03
4.00E-04	3.28E-03	3.58E-03
0	3.25E-03	2.66E-03
0	4.48E-03	2.34E-03
0	4.32E-03	2.06E-03
5.00E-04	4.31E-03	1.85E-03
0	4.48E-03	1.71E-03
0	3.50E-03	1.62E-03
0	4.33E-03	1.49E-03
0	4.87E-03	1.50E-03
2.00E-03	3.99E-03	1.43E-03
0	3.76E-03	1.19E-03
0	2.77E-03	1.15E-03
0	3.71E-03	9.77E-04
0	4.35E-03	8.96E-04
1.44E-02	4.18E-03	1.08E-03
7.87E-04	4.38E-03	8.51E-04
0	3.33E-03	7.30E-04
0	4.32E-03	7.02E-04
5.00E-04	4.18E-03	6.36E-04
8.77E-03	2.31E-03	6.90E-04
7.04E-03	3.81E-03	9.22E-04
0	3.79E-03	5.88E-04
7.62E-04	1.60E-03	5.51E-04
4.75E-04	3.13E-03	5.03E-04
0	3.72E-03	4.27E-04
8.22E-04	3.39E-03	4.37E-04
6.09E-02	1.57E-03	4.85E-03
6.62E-03	5.02E-03	1.53E-03
0	4.70E-03	8.48E-04
0	4.57E-03	6.72E-04
8.54E-04	4.75E-03	6.01E-04
0	5.03E-03	5.08E-04
0	4.97E-03	4.33E-04
0	5.02E-03	3.86E-04
3.00E-04	4.77E-03	3.40E-04
0	4.11E-03	 
0	3.44E-03	2.83E-04
0	2.64E-03	2.66E-04
0	4.18E-03	2.52E-04
0	3.78E-03	2.20E-04
0	4.11E-03	1.96E-04
2.30E-03	4.16E-03	1.91E-04
0	4.77E-03	1.87E-04
5.00E-04	4.52E-03	1.95E-04
0	4.68E-03	1.94E-04
0	4.96E-03	2.01E-04
0	5.18E-03	2.63E-04
0	4.74E-03	2.57E-04
4.02E-03	2.94E-03	2.62E-04
4.66E-02	1.26E-03	1.38E-03
6.35E-04	2.72E-03	4.23E-04
0	5.10E-03	3.05E-04
0	5.22E-03	2.84E-04
0	5.01E-03	2.61E-04
0	4.82E-03	2.54E-04
0	5.58E-03	2.39E-04
0	5.39E-03	2.38E-04
0	4.69E-03	2.55E-04
0	4.93E-03	3.71E-04
2.12E-02	3.59E-03	7.21E-04
1.39E-02	4.88E-03	7.41E-04
0	3.86E-03	2.88E-04
0	3.36E-03	2.55E-04
2.80E-03	4.42E-03	2.29E-04
0	4.55E-03	2.03E-04
0	4.28E-03	1.93E-04
1.00E-04	3.09E-03	1.91E-04
0	3.43E-03	1.91E-04
0	4.68E-03	1.86E-04
0	4.94E-03	1.67E-04
0	4.46E-03	1.62E-04
7.70E-03	1.72E-03	2.02E-04
2.72E-04	1.75E-03	1.99E-04
7.63E-03	2.77E-03	2.77E-04
3.00E-04	3.99E-03	2.29E-04
0	3.14E-03	2.24E-04
0	4.75E-03	2.64E-04
0	4.62E-03	2.52E-04
0	4.15E-03	2.34E-04
0	3.85E-03	2.18E-04
0	4.36E-03	1.88E-04
0	4.59E-03	1.50E-04
0	5.33E-03	1.30E-04
0	4.98E-03	1.37E-04
0	5.04E-03	1.12E-04
0	4.88E-03	1.04E-04
0	4.88E-03	9.81E-05
0	4.95E-03	8.17E-05
0	5.25E-03	7.93E-05
0	5.60E-03	7.66E-05
0	5.02E-03	6.84E-05
0	5.23E-03	7.36E-05
0	4.68E-03	7.70E-05
0	4.42E-03	8.33E-05
0	4.63E-03	6.46E-05
0	3.77E-03	6.31E-05
4.28E-03	2.40E-03	9.10E-05
1.81E-03	1.76E-03	7.80E-05
8.00E-04	1.05E-03	7.26E-05
2.01E-03	2.25E-03	6.95E-05
5.42E-04	3.15E-03	6.45E-05
0	3.16E-03	6.02E-05
0	2.95E-03	6.84E-05
0	2.04E-03	6.28E-05
1.02E-02	4.52E-03	 
3.15E-02	2.24E-03	 
8.70E-02	1.43E-03	 
3.00E-04	2.50E-03	8.66E-04
0	4.27E-03	2.47E-04
0	4.45E-03	1.90E-04
0	3.39E-03	1.94E-04
3.26E-02	1.73E-03	6.53E-04
7.10E-03	2.89E-03	4.97E-04
0	4.08E-03	3.79E-04
2.63E-02	2.47E-03	7.15E-04
6.16E-03	3.37E-03	8.12E-04
0	4.84E-03	4.97E-04
0	5.01E-03	3.35E-04
5.50E-04	3.77E-03	2.70E-04
5.50E-04	1.58E-03	2.44E-04
0	4.96E-03	2.35E-04
1.49E-02	2.78E-03	2.38E-04
3.39E-02	1.71E-03	3.43E-03
2.68E-02	1.86E-03	5.94E-03
1.18E-02	3.45E-03	1.87E-03
1.90E-03	4.54E-03	1.33E-03
1.07E-02	4.90E-03	1.04E-03
4.15E-04	3.59E-03	9.98E-04
2.63E-02	1.99E-03	1.46E-03
8.05E-02	2.53E-03	 
0	3.55E-03	8.09E-03
0	4.06E-03	2.59E-03
3.68E-02	2.41E-03	5.60E-03
1.74E-02	3.14E-03	5.25E-03
2.90E-03	1.71E-03	4.60E-03
6.50E-03	3.95E-03	2.94E-03
1.83E-02	3.28E-03	2.72E-03
0	2.27E-03	2.63E-03
0	3.91E-03	1.87E-03
3.00E-04	3.62E-03	1.52E-03
6.90E-03	3.27E-03	1.50E-03
1.24E-02	1.95E-03	1.52E-03
3.80E-03	2.09E-03	1.44E-03
0	2.55E-03	1.20E-03
3.46E-02	2.85E-03	6.18E-03
1.69E-02	1.48E-03	4.98E-03
2.80E-03	3.10E-03	3.51E-03
9.41E-03	1.36E-03	2.84E-03
1.58E-03	4.65E-04	2.52E-03
6.30E-02	2.45E-03	2.40E-02
4.02E-02	1.05E-03	1.57E-02
8.56E-03	2.36E-03	1.07E-02
1.63E-03	2.30E-03	5.95E-03
8.76E-03	1.69E-03	5.15E-03
1.57E-02	2.26E-03	5.56E-03
6.85E-02	9.80E-04	3.35E-02
4.42E-03	1.66E-03	9.61E-03
8.38E-03	2.05E-03	6.47E-03
6.00E-04	3.62E-03	4.99E-03
1.80E-03	3.13E-03	3.85E-03
1.03E-02	2.40E-03	3.46E-03
1.80E-02	1.23E-03	5.20E-03
3.25E-04	2.34E-03	4.21E-03
2.49E-02	1.47E-03	7.21E-03
9.14E-04	3.61E-03	5.07E-03
5.32E-03	3.69E-03	4.03E-03
2.80E-04	2.25E-03	3.18E-03
3.00E-04	3.09E-03	2.70E-03
5.00E-04	3.06E-03	2.35E-03
0	2.75E-03	2.13E-03
5.03E-03	3.07E-03	1.99E-03
2.28E-03	8.75E-04	1.80E-03
5.88E-02	3.72E-03	2.24E-02
2.50E-03	3.31E-03	6.78E-03
0	4.52E-03	4.08E-03
1.65E-02	2.48E-03	4.09E-03
0	1.86E-03	3.36E-03
3.10E-03	2.16E-03	2.89E-03
1.96E-02	3.33E-03	5.07E-03
1.16E-02	2.33E-03	5.20E-03
2.76E-04	1.76E-03	5.13E-03
0	3.03E-03	3.82E-03
4.54E-03	3.91E-03	2.79E-03
1.17E-02	5.78E-04	3.27E-03
2.17E-03	3.35E-03	2.47E-03
3.00E-04	3.77E-03	2.11E-03
2.19E-02	3.34E-03	3.03E-03
2.13E-02	1.63E-03	8.86E-03
0	2.70E-03	3.74E-03
4.00E-04	2.16E-03	2.92E-03
0	2.96E-03	2.45E-03
1.10E-03	3.30E-03	2.16E-03
0	3.50E-03	1.91E-03
0	2.96E-03	1.71E-03
7.13E-03	2.66E-03	1.62E-03
4.20E-02	1.46E-03	7.99E-03
2.22E-03	3.68E-03	2.88E-03
2.28E-03	2.58E-03	2.44E-03
1.71E-03	2.02E-03	2.22E-03
3.64E-02	2.92E-03	9.81E-03
5.75E-04	2.51E-03	4.56E-03
1.35E-02	1.09E-03	4.46E-03
3.44E-03	3.70E-03	3.83E-03
1.30E-03	2.07E-03	3.08E-03
2.94E-02	2.94E-03	7.20E-03
2.59E-03	3.56E-03	4.87E-03
4.39E-03	1.84E-03	3.78E-03
0	3.81E-03	3.05E-03
8.41E-03	2.15E-03	2.90E-03
0	5.00E-03	2.41E-03
0	4.47E-03	2.08E-03
1.28E-02	4.42E-03	2.24E-03
3.00E-04	2.00E-03	1.99E-03
3.30E-03	3.75E-03	1.79E-03
2.30E-03	1.83E-03	1.72E-03
1.92E-02	1.32E-03	2.72E-03
7.48E-02	2.41E-03	3.40E-02
1.97E-03	1.28E-03	8.39E-03
5.15E-02	3.51E-03	2.44E-02
1.98E-03	4.19E-03	1.04E-02
2.11E-03	3.87E-03	6.01E-03
0	3.36E-03	4.46E-03
1.30E-03	4.20E-03	3.60E-03
1.37E-02	1.69E-03	4.59E-03
2.88E-02	1.04E-03	9.84E-03
3.81E-03	4.20E-03	4.86E-03
1.19E-03	3.09E-03	3.66E-03
7.11E-03	3.73E-03	3.72E-03
3.71E-03	2.92E-03	2.98E-03
0	4.46E-03	2.54E-03
2.50E-03	3.64E-03	2.24E-03
0	4.04E-03	2.02E-03
5.84E-04	3.36E-03	1.77E-03
3.56E-02	3.96E-03	1.06E-02
5.64E-02	2.71E-03	2.54E-02
3.00E-04	2.56E-03	7.03E-03
0	4.35E-03	4.45E-03
1.24E-02	1.36E-03	5.20E-03
2.10E-03	1.88E-03	3.46E-03
1.73E-02	2.59E-03	5.37E-03
3.00E-03	3.61E-03	3.40E-03
0	3.26E-03	2.85E-03
0	1.36E-03	2.48E-03
8.00E-04	2.39E-03	2.24E-03
8.33E-03	2.66E-03	2.25E-03
6.29E-04	3.69E-03	1.89E-03
6.35E-03	2.38E-03	1.86E-03
4.28E-02	2.07E-03	4.35E-03
2.91E-04	4.66E-03	2.48E-03
0	3.87E-03	1.93E-03
4.93E-02	3.01E-03	1.45E-02
2.93E-04	4.26E-03	4.02E-03
2.50E-03	2.61E-03	2.74E-03
4.13E-03	4.36E-03	2.34E-03
7.87E-03	2.86E-03	 
9.39E-02	2.57E-03	 
0	2.91E-03	7.54E-03
3.82E-03	4.13E-03	4.59E-03
5.82E-04	3.83E-03	3.52E-03
0	3.50E-03	2.91E-03
0	3.82E-03	2.47E-03
3.70E-03	1.16E-03	2.32E-03
1.70E-03	1.94E-03	2.13E-03
4.18E-02	1.77E-03	1.05E-02
2.46E-02	2.30E-03	1.18E-02
1.59E-02	2.60E-03	8.33E-03
5.59E-03	2.27E-03	5.34E-03
1.17E-02	3.75E-03	5.46E-03
0	4.46E-03	3.66E-03
0	4.43E-03	2.97E-03
1.13E-02	3.77E-03	5.48E-03
2.50E-03	3.15E-03	2.76E-03
1.32E-02	2.83E-03	3.62E-03
1.49E-02	3.26E-03	4.58E-03
1.35E-02	2.68E-03	4.68E-03
1.30E-03	2.33E-03	3.83E-03
8.00E-04	3.16E-03	3.07E-03
0	2.98E-03	2.58E-03
0	3.70E-03	2.24E-03
0	2.75E-03	1.96E-03
5.60E-03	1.05E-03	1.98E-03
5.94E-02	6.14E-04	1.96E-02
1.20E-02	2.67E-03	5.41E-03
1.76E-03	3.10E-03	3.08E-03
0	3.19E-03	1.96E-03
1.20E-03	3.13E-03	1.98E-03
3.20E-02	2.29E-03	1.96E-02
2.90E-03	2.33E-03	5.41E-03
1.10E-02	1.76E-03	 
3.00E-04	3.68E-03	 
1.80E-02	2.24E-03	 
4.53E-02	4.30E-04	 
2.32E-02	1.30E-03	 
2.02E-02	3.75E-03	 
3.59E-02	3.59E-03	 
5.94E-02	1.20E-03	 
5.54E-02	1.19E-03	 
2.35E-02	1.18E-03	 
1.00E-03	2.76E-03	 
9.90E-03	2.76E-03	 
2.18E-02	3.11E-03	 
0	3.14E-03	 
0	3.80E-03	 
5.57E-04	2.76E-03	 
1.79E-02	2.39E-03	 
3.80E-03	1.86E-03	 
0	3.41E-03	 
0	4.02E-03	 
2.21E-02	2.58E-03	 
1.09E-03	2.76E-03	 
3.62E-02	1.21E-03	 
2.26E-02	8.45E-04	 
8.14E-03	6.96E-04	 
2.33E-02	1.04E-03	 
4.49E-03	2.42E-03	 
1.80E-03	8.67E-04	 
0	2.49E-03	 
1.30E-03	3.48E-03	 
0	2.42E-03	 
4.60E-03	2.90E-03	 
4.54E-03	2.29E-03	 
3.70E-02	2.99E-03	 
5.14E-03	1.34E-03	 
7.00E-04	1.87E-03	 
0	2.20E-03	 
6.36E-03	1.35E-03	 
1.14E-02	1.59E-03	 
4.47E-02	2.61E-03	 
5.44E-04	2.86E-03	 
3.50E-03	1.22E-03	 
0	2.04E-03	 
6.00E-04	3.07E-03	 
0	2.42E-03	 
0	2.40E-03	 
0	3.11E-03	 
3.00E-04	3.70E-03	 
0	3.49E-03	 
1.00E-03	2.58E-03	 
3.00E-04	2.10E-03	 
0	3.81E-03	 
0	3.55E-03	 
0	3.93E-03	 
0	3.94E-03	 
0	3.45E-03	 
0	4.35E-03	 
0	4.50E-03	 
3.00E-04	3.34E-03	 
6.00E-04	3.41E-03	 
0	3.45E-03	 
2.22E-02	3.95E-03	 
5.63E-03	2.16E-03	 
5.50E-04	2.63E-03	 
0	3.92E-03	 
0	4.12E-03	 
5.00E-04	3.97E-03	 
0	4.29E-03	 
5.10E-04	2.81E-03	 
0	3.14E-03	 
0	2.99E-03	 
0	3.96E-03	 
2.50E-03	3.80E-03	 
1.90E-03	4.40E-03	 
0	3.69E-03	 
0	4.52E-03	 
1.50E-03	4.62E-03	 
1.10E-03	4.15E-03	 
0	4.03E-03	 
1.00E-04	4.14E-03	 
0	4.22E-03	 
0	4.68E-03	 
1.00E-04	4.80E-03	 
0	3.66E-03	 
0	3.97E-03	 
0	4.27E-03	 
3.00E-04	3.67E-03	2.29E-04
1.80E-03	3.49E-03	2.26E-04
0	4.88E-03	2.13E-04
0	4.14E-03	2.04E-04
0	4.54E-03	1.95E-04
0	4.34E-03	1.86E-04
4.12E-02	1.97E-03	8.22E-04
0	3.97E-03	3.26E-04
0	4.32E-03	2.62E-04
5.00E-04	3.73E-03	2.27E-04
0	3.28E-03	2.05E-04
0	1.92E-03	1.97E-04
5.00E-04	2.88E-03	1.96E-04
1.00E-04	2.78E-03	2.04E-04
0	4.10E-03	2.00E-04
0	3.96E-03	1.86E-04
5.00E-04	2.00E-03	1.87E-04
0	4.20E-03	1.67E-04
0	4.35E-03	1.56E-04
0	3.22E-03	1.50E-04
0	3.63E-03	1.40E-04
0	4.47E-03	1.38E-04
0	5.01E-03	1.34E-04
0	4.71E-03	1.30E-04
0	3.14E-03	1.22E-04
0	3.75E-03	1.13E-04
0	3.84E-03	1.08E-04
0	2.74E-03	1.10E-04
0	4.16E-03	1.09E-04
0	3.64E-03	9.92E-05
0	4.69E-03	9.63E-05
0	4.92E-03	9.07E-05
0	4.78E-03	9.39E-05
0	4.83E-03	8.14E-05
0	4.83E-03	8.16E-05
0	4.57E-03	8.83E-05
0	4.68E-03	7.35E-05
0	2.75E-03	7.37E-05
3.00E-04	1.95E-03	7.70E-05
0	4.56E-03	8.80E-05
3.00E-04	3.73E-03	8.49E-05
0	3.94E-03	7.03E-05
0	3.55E-03	6.96E-05
0	3.38E-03	7.00E-05
0	4.32E-03	7.46E-05
0	5.21E-03	5.84E-05
0	4.82E-03	5.54E-05
0	4.44E-03	5.60E-05
1.50E-03	4.93E-03	-9999
0	4.58E-03	-9999
0	5.04E-03	-9999
0	5.64E-03	-9999
0	5.69E-03	-9999
0	4.99E-03	-9999
0	4.93E-03	-9999
0	4.36E-03	-9999
0	5.07E-03	-9999
0	5.20E-03	-9999
0	5.44E-03	-9999
0	5.51E-03	-9999
0	5.00E-03	-9999
0	4.93E-03	-9999
0	5.18E-03	-9999
1.00E-03	3.97E-03	-9999
0	5.08E-03	-9999
0	4.56E-03	-9999
3.00E-04	4.01E-03	-9999
0	4.03E-03	-9999
0	4.88E-03	-9999
0	4.89E-03	-9999
0	1.65E-03	-9999
0	4.59E-03	-9999
0	4.52E-03	-9999
5.00E-04	3.73E-03	1.81E-05
0	4.50E-03	2.07E-05
0	4.31E-03	1.78E-05
0	2.27E-03	1.59E-05
0	4.63E-03	1.29E-05
0	3.64E-03	8.81E-06
0	3.57E-03	8.93E-06
0	4.07E-03	9.88E-06
3.09E-02	4.73E-03	8.77E-05
2.82E-04	2.96E-03	5.74E-05
0	3.40E-03	4.77E-05
0	5.04E-03	4.34E-05
0	3.73E-03	5.39E-05
0	4.92E-03	6.70E-05
1.30E-03	3.68E-03	4.25E-05
0	3.55E-03	3.11E-05
0	4.62E-03	2.39E-05
0	4.93E-03	2.27E-05
0	3.58E-03	2.00E-05
1.50E-03	3.72E-03	2.52E-05
6.00E-04	3.26E-03	3.38E-05
1.37E-02	2.57E-03	7.04E-05
4.08E-03	3.49E-03	7.48E-05
3.15E-04	3.47E-03	5.26E-05
2.72E-02	9.91E-04	1.38E-04
1.30E-03	2.56E-03	8.17E-05
7.60E-03	2.94E-03	8.54E-05
1.60E-02	1.48E-03	1.20E-04
9.53E-02	1.16E-03	2.57E-03
2.91E-04	2.90E-03	2.25E-04
0	3.76E-03	1.12E-04
4.60E-03	3.14E-03	9.34E-05
0	4.01E-03	8.17E-05
8.10E-03	3.51E-03	1.17E-04
2.31E-03	3.74E-03	1.34E-04
0	4.36E-03	7.46E-05
0	4.21E-03	8.49E-05
0	4.30E-03	6.55E-05
3.00E-04	4.65E-03	7.51E-05
3.00E-04	3.06E-03	7.51E-05
0	3.44E-03	6.89E-05
0	3.35E-03	5.43E-05
1.90E-02	2.88E-03	7.55E-05
2.42E-03	3.06E-03	1.20E-04
1.38E-02	2.42E-03	1.36E-04
2.04E-02	9.14E-04	2.77E-04
3.51E-03	3.03E-03	1.53E-04
7.81E-02	1.34E-03	6.15E-03
5.21E-03	3.60E-03	5.87E-04
6.24E-02	4.21E-03	9.10E-03
8.23E-04	5.18E-03	2.00E-03
0	5.08E-03	5.91E-04
0	3.27E-03	3.82E-04
0	3.15E-03	3.22E-04
0	4.40E-03	3.03E-04
3.10E-02	2.12E-03	9.24E-04
0	4.09E-03	8.33E-04
5.78E-04	4.46E-03	5.26E-04
3.52E-03	1.55E-03	5.95E-04
0	4.04E-03	4.28E-04
0	4.14E-03	4.55E-04
8.53E-03	2.58E-03	5.58E-04
2.75E-04	2.00E-03	8.65E-04
2.80E-04	5.02E-03	4.83E-04
1.12E-03	3.05E-03	2.78E-04
5.90E-03	8.15E-04	2.44E-04
3.64E-02	1.35E-03	1.50E-03
6.57E-04	2.19E-03	9.81E-04
4.56E-02	2.39E-03	4.54E-03
5.53E-04	2.77E-03	1.91E-03
1.55E-02	3.85E-03	1.77E-03
5.30E-03	4.22E-03	1.51E-03
2.06E-02	2.65E-03	1.22E-03
1.00E-04	1.89E-03	8.57E-04
0	2.62E-03	7.80E-04
1.72E-03	2.16E-03	7.16E-04
2.86E-04	3.81E-03	6.95E-04
6.44E-02	3.13E-03	3.80E-03
3.00E-04	3.80E-03	3.43E-03
3.00E-04	2.90E-03	1.36E-03
1.33E-02	4.54E-04	1.34E-03
4.36E-03	3.05E-03	1.24E-03
0	4.19E-03	8.98E-04
0	4.14E-03	7.80E-04
0	4.25E-03	6.55E-04
2.06E-02	3.22E-03	8.41E-04
5.00E-04	3.38E-03	8.33E-04
7.61E-03	4.00E-04	7.92E-04
0	3.26E-03	7.22E-04
0	4.35E-03	5.90E-04
0	4.15E-03	4.85E-04
0	4.18E-03	4.40E-04
0	4.32E-03	3.72E-04
5.22E-03	2.40E-03	3.61E-04
1.78E-03	2.00E-03	3.34E-04
1.25E-02	2.91E-03	4.28E-04
2.54E-04	4.34E-03	4.51E-04
0	3.72E-03	-9999
0	4.49E-03	-9999
7.10E-03	4.81E-03	3.27E-04
1.51E-03	3.88E-03	-9999
0	4.54E-03	-9999
0	4.33E-03	-9999
0	4.35E-03	-9999
0	2.63E-03	-9999
4.89E-02	2.29E-03	1.33E-03
4.23E-03	1.15E-03	-9999
3.48E-02	4.00E-03	-9999
6.00E-04	3.57E-03	2.18E-03
3.20E-03	1.66E-03	1.10E-03
4.21E-03	3.95E-03	1.07E-03
2.84E-04	4.16E-03	9.35E-04
8.82E-03	4.65E-03	8.64E-04
0	4.89E-03	4.56E-04
0	3.93E-03	4.45E-04
0	4.75E-03	4.09E-04
2.57E-02	1.99E-03	9.68E-04
2.83E-04	2.37E-03	7.55E-04
3.86E-02	4.30E-04	6.64E-03
0	2.97E-03	2.86E-03
2.30E-03	3.13E-03	1.68E-03
2.50E-03	5.13E-03	1.19E-03
4.63E-03	3.29E-03	9.79E-04
5.16E-03	3.49E-03	9.08E-04
0	4.36E-03	7.36E-04
0	3.99E-03	6.53E-04
4.00E-04	4.30E-03	5.79E-04
7.42E-03	3.65E-03	6.01E-04
2.52E-02	1.34E-03	1.98E-03
2.74E-03	3.11E-03	1.13E-03
0	4.70E-03	8.24E-04
0	3.45E-03	6.83E-04
6.10E-03	3.36E-03	6.46E-04
3.10E-03	2.28E-03	5.92E-04
0	4.48E-03	5.52E-04
0	4.03E-03	4.90E-04
3.63E-02	1.01E-03	2.57E-03
2.54E-04	4.33E-03	1.27E-03
0	5.10E-03	7.95E-04
0	4.72E-03	6.78E-04
0	4.55E-03	5.93E-04
0	3.91E-03	5.14E-04
0	1.97E-03	4.79E-04
2.50E-03	3.11E-03	4.48E-04
0	4.10E-03	4.21E-04
0	5.61E-03	3.88E-04
4.20E-02	2.40E-03	2.98E-03
2.08E-02	2.08E-03	2.38E-03
4.31E-02	1.34E-03	1.12E-02
5.43E-04	3.91E-03	3.80E-03
5.00E-04	4.51E-03	2.07E-03
0	3.67E-03	1.50E-03
3.78E-03	3.36E-03	1.28E-03
5.20E-04	2.01E-03	1.03E-03
0	3.34E-03	8.85E-04
4.30E-03	4.19E-03	7.88E-04
4.80E-03	3.01E-03	7.71E-04
1.50E-03	3.85E-03	7.02E-04
2.54E-04	3.06E-03	6.33E-04
0	3.01E-03	5.95E-04
9.02E-03	2.27E-03	7.54E-04
6.49E-03	3.06E-03	8.48E-04
2.83E-04	4.07E-03	6.28E-04
3.00E-03	2.97E-03	6.55E-04
1.30E-03	2.49E-03	5.66E-04
4.60E-03	2.48E-03	4.88E-04
4.30E-03	4.58E-03	5.17E-04
0	4.96E-03	4.60E-04
4.31E-03	1.57E-03	4.91E-04
4.60E-03	1.48E-03	4.38E-04
0	4.06E-03	4.32E-04
1.39E-02	3.64E-03	4.85E-04
2.78E-04	2.91E-03	4.79E-04
5.00E-04	3.94E-03	5.53E-04
0	3.31E-03	4.81E-04
0	3.92E-03	3.86E-04
0	3.32E-03	3.00E-04
0	4.92E-03	2.89E-04
1.80E-02	2.99E-03	4.08E-04
7.07E-03	2.37E-03	4.90E-04
2.18E-02	2.34E-03	2.50E-03
4.35E-02	2.32E-03	9.22E-03
1.50E-03	2.20E-03	2.77E-03
1.39E-02	2.96E-03	2.81E-03
6.18E-02	3.90E-03	1.97E-02
1.52E-02	3.21E-03	1.03E-02
2.81E-04	3.20E-03	5.04E-03
0	4.14E-03	2.96E-03
6.61E-03	3.63E-03	2.55E-03
2.88E-04	5.47E-03	1.87E-03
0	2.86E-03	1.36E-03
6.98E-03	3.10E-03	1.28E-03
1.22E-03	1.59E-03	1.15E-03
6.90E-03	2.43E-03	1.15E-03
1.90E-03	2.90E-03	1.05E-03
0	4.32E-03	8.89E-04
3.33E-03	2.03E-03	8.46E-04
8.10E-04	3.51E-03	8.33E-04
6.86E-03	2.53E-03	9.72E-04
0	1.49E-03	8.59E-04
0	3.77E-03	7.39E-04
0	3.71E-03	6.47E-04
6.90E-03	2.19E-03	1.11E-03
0	2.82E-03	9.30E-04
3.55E-03	3.59E-03	7.31E-04
2.67E-02	1.02E-03	-9999
5.51E-04	1.59E-03	1.20E-03
8.64E-04	2.17E-03	9.48E-04
3.03E-02	2.94E-03	3.75E-03
5.66E-02	1.72E-03	1.62E-02
6.06E-03	1.09E-03	7.49E-03
8.03E-03	7.13E-04	4.70E-03
1.50E-03	4.50E-03	3.27E-03
2.58E-02	2.54E-03	5.49E-03
0	3.09E-03	4.08E-03
0	4.09E-03	2.87E-03
4.90E-03	3.24E-03	2.62E-03
6.50E-03	3.99E-03	2.47E-03
5.00E-04	3.11E-03	1.95E-03
0	1.49E-03	1.67E-03
2.00E-03	4.09E-03	1.49E-03
0	1.99E-03	1.35E-03
1.12E-03	3.51E-03	1.22E-03
2.21E-03	2.25E-03	1.26E-03
2.75E-04	3.87E-03	1.25E-03
3.64E-02	2.07E-03	3.52E-03
2.54E-04	1.05E-03	2.01E-03
2.50E-03	2.37E-03	1.58E-03
0	2.78E-03	1.34E-03
0	4.05E-03	1.14E-03
0	4.41E-03	1.07E-03
0	3.46E-03	1.00E-03
0	4.11E-03	-9999
0	3.38E-03	-9999
4.80E-03	2.69E-03	9.40E-04
0	4.01E-03	8.39E-04
1.50E-03	3.87E-03	7.37E-04
0	3.95E-03	6.52E-04
0	3.65E-03	6.34E-04
1.00E-04	3.26E-03	6.05E-04
1.00E-04	3.18E-03	5.64E-04
0	3.99E-03	5.15E-04
0	3.63E-03	4.67E-04
0	4.53E-03	4.26E-04
0	4.31E-03	3.98E-04
5.10E-03	3.98E-03	4.41E-04
0	4.04E-03	3.83E-04
1.80E-03	2.29E-03	3.66E-04
0	4.18E-03	3.34E-04
0	4.14E-03	3.01E-04
0	4.03E-03	2.14E-04
3.00E-04	4.34E-03	1.91E-04
0	4.00E-03	1.80E-04
2.05E-03	3.20E-03	1.78E-04
0	3.11E-03	1.69E-04
0	3.44E-03	1.63E-04
1.00E-04	3.90E-03	1.51E-04
0	3.46E-03	1.36E-04
0	4.14E-03	1.33E-04
0	4.24E-03	1.33E-04
0	4.00E-03	1.26E-04
8.08E-04	3.08E-03	1.21E-04
